"gara_id","application_name","author_id","builder_id","contractor_id","designer_id","engine_id","manager_id","status","decision_date","region_name","city_id","type","turn","network","period_month","start_date","end_date","class","flat_area","build_qty","build_floor","build_area","com_area","park_area","flat_qty","com_qty","park_qty","flat_onerm","flat_tworm","flat_threerm","flat_fourrm","cost_plan","flat_msprice","build_mscost","flat_mscost","com_msprice","park_price","self_cost","unfin_cost","share_cost","warr_cost","comm_cost","cost_official","flat_inner","flat_height","dpg_date","dpg_num","dpg_add_num","dpg_num_text","prolongation","update_date","state_id","create_date","annul_date","state_name"
"201",NULL,"030340014828","160640016168","060540017250","030340014828","110940004909","160940030233","Завершенный","2021-09-16","г. Алматы ","18194","Стандартный",NULL,"Строительство ИКИ будет произведено за счет средств Застройщика","11.0","2021-08-02","2022-06-29","4","52721.7","30.0","5","80501.6","0","0","980","0","0","400","410","170","0","7304262241","274008",NULL,"90734",NULL,NULL,"730426224",NULL,"269804220","73042624","1458500","7304262241","черновая",NULL,"2021-09-30","85","0","ДПГ-21-02-020/085","0.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"87",NULL,"071040010636","170140020417","100640016266","071040010636","130440013597","210440026348","Действующий","2021-09-28","г. Алматы ","18194","Стандартный","4","Строительство ИКИ за счет собственных средств Застройщика","13.0","2021-08-15","2023-03-15","4","8813.24","2.0","16","11238.23","387.09","0","156","2","0","60","64","32","0","3392109393","390000",NULL,"301837","450000",NULL,"339210939.3","33008686.68","100","33591007","1458500","3392109393","черновая","2.7","2021-10-22","88","0","ДПГ-21-02-025/088","3.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"52",NULL,"050240018226","051040013647","051040013647",NULL,"060140016555","210740019900","Действующий","2021-10-14","г. Алматы ","18194","Стандартный",NULL,"Проект на ИКИ разработан, строительство за счет средств Застройщика","19.0","2021-07-30","2023-03-01","3","11349","2.0","12","18802","1009.5","3765.2","132","3","120","0","60","48","24","4541697006","780303",NULL,"241551","900000","6000000","454169701",NULL,"289070435","45416970","1458500","4541697006",NULL,NULL,"2021-10-22","91","0","ДПГ-21-02-011/091",NULL,"2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"20",NULL,"060540001725","070240022179","070240022179","080940013721","081240016084","191040002530","Действующий","2021-11-04","Актюбинская обл.","18267","Стандартный","1","Строительство ИКИ за счет собственных средств Застройщика","35.0","2021-06-23","2024-05-22","4","66111.1","9.0","5","84002.5","6241.5","0","1040","68","0","370","485","185","0","12973474512","200000",NULL,"154442","90000",NULL,"1297347451","1320852558","300000","116526220","1458500","12973468512","черновая","3","2021-11-23","96","0","ДПГ-21-04-021/096",NULL,"2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"105",NULL,"030340014828","160640016168","060540017250","030340014828","120840001080","210240012152","Действующий","2021-12-31","г. Алматы ","18194","Стандартный",NULL,"Строительство ИКИ будет произведено за счет средств Застройщика","14.0","2021-12-25","2022-06-27","4","111859.9","28.0","9","148546.6","0","0","2142","0","0","1134","882","126","0","12284519587","311933",NULL,"82698",NULL,NULL,"1228451959","8094725145","10000","41897944","1458500","12284519587","предчистовая",NULL,"2022-01-24","102","0","ДПГ-22-02-020/102","0.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"32",NULL,"130840002645","071140003260","150440028915","130840002645","020540000695","141140022044","Действующий","2022-01-20","г. Астана","18178","Стандартный",NULL,"Строительство инженерных сетей за счет средств Застройщика","18.0","2021-11-12","2022-10-03","4","24960.3","5.0","9, 17","34762","1869.8","2848","430","24","87","270","50","94","16","7890743167","310000",NULL,"226993","350000","2000000","1183611475","1583180168","200000","63075630","1458500","7890743167","черновая","2.7","2022-02-01","104","0","ДПГ-22-01-038/104","0.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"141",NULL,"111140016567","031040001233","031040001233","031040001233","160740001609","211140017678","Действующий","2022-02-11","Костанайская обл.","18274","Стандартный",NULL,"Наружные инженерные сети будут построены за счет средств Застройщика ","12.0","2021-12-09","2023-03-09","4","13241.86","4.0","9","19437.1","0","0","207","0","0","39","96","72","0","2548284320","315000",NULL,"131104",NULL,NULL,"382242648",NULL,"1673899","25482843","1458500","2548284320","предчистовая",NULL,"2022-03-04","107","0","ДПГ-22-10-048/107","1.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"49",NULL,"000540001174","960340000376","080840010397","000540001174","081240016084","190440041404","Действующий","2021-03-18","г. Астана","18178","Стандартный",NULL,NULL,"20.0","2021-01-28","2023-03-28","4","12798.4","5.0","8","20590.2","2031.1","0","94","13","0","1","1","37","55","3158014308","340000",NULL,"153374.6","350000",NULL,"473702146.2","16298397.23","340300","31417159","1458500","3158014308","черновая","3.3","2021-04-09","58","0","ДПГ-21-01-001/058","3.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"184",NULL,"070740004674","901040000029","901040000029","070740004674",NULL,"210640014956","Действующий","2022-11-08","г. Астана","18178","Стандартный","4",NULL,"12.0","2022-08-26","2023-08-26","4","10854.86","1.0","5;7;9","12617.66","1538.65","0","142","12","0",NULL,NULL,NULL,NULL,"4938141318","415845",NULL,"391367","475000","0","740721198","359262746","100","45788786","918900","4938141318",NULL,NULL,"2022-12-01","125","0","ДПГ-22-01-053/125",NULL,"2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"181",NULL,"081240002012","121240010070","190441023104","081240002012","100940000469","181040031959","Действующий","2021-04-27","г. Астана","18178","Стандартный","2","Строительство ИКИ завершено и введено в эксплуатацию с 1-й очередью МЖК","22.0","2021-02-09","2023-03-09","4","10296.6","1.0","18, 5","15182.7","2179.2","2230.2","102","3","148","17","68","17","0","2394747276","292550",NULL,"157729","300000","1500000","239474728","50454222","184348540","23442931","1458500","2394747276","чистовая","3","2021-05-20","64","0","ДПГ-21-01-029/064","0.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"171",NULL,"060440000659","970540007997","120240021628","060440000659",NULL,"111240020442","Действующий","2023-02-02","г. Алматы ","18194","Стандартный",NULL,"Проводится разработка проектной документации по наружным сетям","9.0","2022-12-28","2023-09-28","4","4666.86","1.0","4","7489.5","478.3","0","88","6","0","22","44","22","0","1843376079","477500",NULL,"358274","550000",NULL,"276506412","0","151000","18433761","918900","1843376079","черновая","3","2023-02-24","131","0","ДПГ-23-02-031/131",NULL,"2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"72",NULL,"590127350216","140740007872","040940016560","050540013800",NULL,"140340019900","Действующий","2023-04-07","Акмолинская обл.","18313","Стандартный",NULL,NULL,"6.0","2023-02-17","2023-08-17","4","1965.55","1.0","5","2497.15","0","0","60","0","0","35","25","0","0","380442507","271833",NULL,"152351","0","0","3804451","39750000","50000","3406925","1035000","380442507","Черновая","2.7","2023-04-28","137","0","ДПГ-23-03-034/137",NULL,"2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"182",NULL,"050240018226","051040013647","991240008188",NULL,"130140000376","220540012145","Действующий","2022-07-19","г. Алматы ","18194","Стандартный","16,17,18","Проект на ИКИ разработан, строительство за счет средств Застройщика","10.0","2022-06-22","2023-04-22","4","9033.4","3.0","7, 9","12908","0","0","143","0","0","60","36","47","0","3564416837","394582",NULL,"276140",NULL,NULL,"356441684",NULL,"500000","36856555","918900","3685655518","черновая",NULL,"2022-08-17","119","0","ДПГ-22-02-011/119",NULL,"2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
